Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Month,Year,
Mid-East,294,176,118,31,173,80,10,188,99,3,4,58,86,30,139,June,2019,
Midlands,107,51,56,23,57,25,2,68,39,0,0,24,35,13,65,June,2019,
Mid-West,332,213,119,39,192,93,8,111,185,36,0,75,100,50,138,June,2019,
North-East,182,118,64,23,105,41,13,107,73,1,1,20,27,13,46,June,2019,
North-West,55,39,16,7,32,14,2,12,26,10,7,7,11,3,25,June,2019,
South-East,284,185,99,56,143,78,7,77,191,4,12,31,43,19,57,June,2019,
South-West,550,323,227,72,332,130,16,339,214,0,0,135,178,92,284,June,2019,
West,337,192,145,44,186,95,12,215,117,0,5,87,123,51,199,June,2019,
Dublin,4300,2448,1852,580,2490,1154,76,2191,2106,73,0,1265,1807,723,2776,July,2019,
Mid-East,306,177,129,38,180,79,9,205,94,3,4,68,98,38,163,July,2019,
Midlands,119,55,64,29,59,29,2,78,41,0,0,25,36,14,60,July,2019,
Mid-West,343,212,131,44,195,96,8,113,189,41,0,81,105,57,154,July,2019,
North-East,187,118,69,28,105,42,12,117,69,1,0,19,26,12,41,July,2019,
North-West,54,40,14,8,27,16,3,15,24,11,4,7,11,3,24,July,2019,
South-East,263,173,90,48,138,71,6,61,177,11,14,33,45,21,60,July,2019,
South-West,575,336,239,79,340,141,15,363,212,0,0,143,192,94,315,July,2019,
West,350,200,150,51,192,95,12,227,123,0,0,80,117,43,185,July,2019,
Dublin,4220,2735,1485,695,2327,1133,65,2258,2002,35,0,723,1225,,1710,August,2021,
Mid-East,305,199,106,45,154,95,11,184,118,3,0,46,72,,92,August,2021,
Midlands,84,54,30,23,43,16,2,58,0,26,0,7,10,,11,August,2021,
Mid-West,283,195,88,32,165,80,6,27,222,34,0,30,41,,45,August,2021,
North-East,103,76,27,8,60,28,7,19,59,25,0,8,10,,19,August,2021,
North-West,70,44,26,18,32,19,1,24,33,13,0,6,7,,10,August,2021,
South-East,176,127,49,27,101,43,5,42,134,0,0,17,24,,34,August,2021,
South-West,504,357,147,65,278,142,19,339,171,0,0,53,67,,104,August,2021,
West,278,162,116,71,126,70,11,158,120,0,0,63,98,,164,August,2021,
Dublin,4312,2447,1865,569,2511,1153,79,2260,2078,67,0,1280,1831,729,2850,August,2019,
Mid-East,327,193,134,44,193,81,9,223,98,3,4,79,116,42,182,August,2019,
Midlands,98,47,51,20,50,28,0,61,12,25,0,22,31,13,49,August,2019,
Mid-West,323,202,121,46,170,100,7,103,186,34,0,76,97,55,141,August,2019,
North-East,179,106,73,32,102,34,11,112,66,1,0,19,24,14,40,August,2019,
North-West,51,35,16,12,27,10,2,10,24,11,6,6,10,2,20,August,2019,
South-East,266,170,96,51,136,73,6,64,174,10,18,30,43,17,57,August,2019,
South-West,583,345,238,87,338,136,22,375,13,195,0,131,181,81,309,August,2019,
West,351,210,141,49,195,95,12,229,122,0,0,83,121,45,200,August,2019,
